timestamp,ticker,signal,price,shares,confidence,reason,stop_loss,take_profit,pnl,capital
2026-05-09 03:13:26,RELIANCE.NS,BUY,1435.2,27,77.36,ML + 6/7 filters,1409.37,1478.26,0,61249.6,0,0
2026-05-09 03:18:28,RELIANCE.NS,BUY,1435.2,17,77.36,ML + 6/7 filters,1409.37,1478.26,0,36851.2,0,0
2026-05-09 03:23:29,RELIANCE.NS,BUY,1435.2,10,77.36,ML + 6/7 filters,1409.37,1478.26,0,22499.2,0,0
2026-05-09 20:12:33,RELIANCE.NS,BUY,1435.2,27,77.36,ML + 6/7 filters,1409.37,1478.26,0,61249.6,0,0
2026-05-09 20:15:25,RELIANCE.NS,BUY,1435.2,27,77.36,ML + 6/7 filters,1409.37,1478.26,0,61249.6,0,0
2026-05-09 20:20:16,RELIANCE.NS,BUY,1435.2,17,77.36,ML + 6/7 filters,1409.37,1478.26,0,36851.2,0,0
2026-05-09 20:25:08,RELIANCE.NS,BUY,1435.2,10,77.36,ML + 6/7 filters,1409.37,1478.26,0,22499.2,0,0
2026-05-09 20:40:34,RELIANCE.NS,BUY,1435.2,27,77.36,ML + 6/7 filters,1409.37,1478.26,0,61249.6,0,0
2026-05-09 20:45:24,RELIANCE.NS,BUY,1435.2,17,77.36,ML + 6/7 filters,1409.37,1478.26,0,36851.2,0,0
2026-05-09 20:50:14,RELIANCE.NS,BUY,1435.2,10,77.36,ML + 6/7 filters,1409.37,1478.26,0,22499.2,0,0
